,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
6693,Tony Hawk's Proving Ground,Wii,2007.0,Sports,Activision,0.22,0.01,0.0,0.02,57.0,8.0,6.2,19.0,Page 44 Studios,T
14437,Combat Mission: Shock Force,PC,2007.0,Strategy,Paradox Interactive,0.0,0.03,0.0,0.0,62.0,15.0,3.3,86.0,Big Time Software,T
2422,Guitar Hero: Warriors of Rock,X360,2010.0,Misc,Activision,0.47,0.31,0.0,0.08,72.0,65.0,6.5,51.0,Neversoft Entertainment,T
6407,NBA 07,PS3,2006.0,Sports,Sony Computer Entertainment,0.24,0.0,0.01,0.02,63.0,24.0,6.3,10.0,SCEA,E
80,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.74,2.24,1.58,0.7,62.0,41.0,6.3,190.0,Hudson,E
13493,Pony Friends,DS,2007.0,Simulation,Eidos Interactive,0.0,0.04,0.0,0.01,67.0,8.0,6.6,12.0,Tantalus Interactive,E
4739,"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005.0,Platform,Midway Games,0.34,0.01,0.0,0.06,50.0,5.0,7.6,16.0,Artificial Mind and Movement,E
1572,Rockstar Games presents Table Tennis,Wii,2007.0,Sports,Take-Two Interactive,0.39,0.72,0.0,0.15,68.0,36.0,5.8,21.0,Rockstar San Diego,E
879,Kirby Squeak Squad,DS,2006.0,Platform,Nintendo,0.78,0.02,1.05,0.08,71.0,29.0,8.1,41.0,"Flagship, HAL Labs",E
1578,Tamagotchi Connection: Corner Shop,DS,2005.0,Simulation,Atari,0.1,0.02,1.12,0.01,59.0,20.0,7.7,6.0,NanaOn-Sha,E
12716,Warriors Orochi 2,X360,2008.0,Action,Tecmo Koei,0.04,0.0,0.01,0.0,44.0,28.0,8.1,15.0,Omega Force,T
1509,Yoshi's Woolly World,WiiU,2015.0,Platform,Nintendo,0.62,0.47,0.11,0.1,78.0,83.0,8.5,376.0,Good-Feel,E
13779,Virtua Tennis 4,PC,2011.0,Sports,Sega,0.0,0.03,0.0,0.01,66.0,5.0,7.3,43.0,Sega,E
9751,Blackwater,X360,2011.0,Shooter,505 Games,0.09,0.02,0.0,0.01,37.0,12.0,4.5,14.0,Zombie Studios,T
8394,CSI: Fatal Conspiracy,X360,2010.0,Adventure,Ubisoft,0.11,0.04,0.0,0.01,42.0,9.0,4.8,4.0,Telltale Games,M
4742,WWE All Stars,PS3,2011.0,Fighting,THQ,0.16,0.18,0.0,0.07,75.0,51.0,6.4,36.0,THQ,T
13942,LEGO Jurassic World,PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.0,0.04,0.0,0.0,72.0,8.0,7.1,31.0,TT Games,E10+
7066,Mortal Kombat: Armageddon,Wii,2007.0,Fighting,Midway Games,0.19,0.02,0.0,0.02,71.0,29.0,8.4,33.0,JGI Entertainment,M
5096,Kingdom Under Fire: Circle of Doom,X360,2007.0,Role-Playing,Microsoft Game Studios,0.18,0.12,0.04,0.03,55.0,44.0,5.9,49.0,Blueside,M
16108,Turok,PC,2008.0,Action,Touchstone,0.0,0.01,0.0,0.0,65.0,16.0,6.5,55.0,Propaganda Games,M
7573,Planet 51,Wii,2009.0,Action,Sega,0.17,0.01,0.0,0.02,53.0,6.0,5.8,4.0,Pyro Studios,E
3614,MX 2002 Featuring Ricky Carmichael,PS2,2001.0,Racing,THQ,0.27,0.21,0.0,0.07,76.0,17.0,8.3,9.0,Pacific Coast Power & Light,E
6180,NCAA March Madness 2005,XB,2004.0,Sports,Electronic Arts,0.21,0.06,0.0,0.01,80.0,18.0,7.8,4.0,EA Canada,E
12292,World Poker Tour,XB,2005.0,Misc,Take-Two Interactive,0.05,0.01,0.0,0.0,63.0,17.0,7.8,4.0,2K Sports,T
6098,FIFA 15,PC,2014.0,Sports,Electronic Arts,0.0,0.27,0.0,0.02,82.0,9.0,4.2,383.0,EA Sports,E
9420,Frogger Beyond,GC,2002.0,Platform,Konami Digital Entertainment,0.1,0.03,0.0,0.0,60.0,6.0,7.2,5.0,Konami,E
5595,"Warhammer 40,000: Squad Command",PSP,2007.0,Strategy,THQ,0.11,0.13,0.0,0.08,67.0,25.0,7.6,26.0,RedLynx,T
7402,World of Final Fantasy,PSV,2016.0,Role-Playing,Square Enix,0.04,0.06,0.08,0.03,77.0,5.0,8.6,46.0,Square Enix,E10+
5323,NFL Street,GC,2004.0,Sports,Electronic Arts,0.27,0.07,0.0,0.01,81.0,30.0,8,4.0,EA Tiburon,E
6977,The Scorpion King: Rise of the Akkadian,PS2,2002.0,Action,Universal Interactive,0.11,0.09,0.0,0.03,47.0,12.0,7.2,6.0,VU Games,T
8478,World Tour Soccer 2005,PS2,2004.0,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,68.0,28.0,9,6.0,SCEE London Studio,E
10778,Shovel Knight,WiiU,2015.0,Platform,Yacht Club Games,0.05,0.04,0.0,0.01,88.0,24.0,8.3,280.0,Yacht Club Games,E
636,The Sims: Bustin' Out,PS2,2003.0,Simulation,Electronic Arts,1.07,1.19,0.0,0.18,81.0,26.0,8.4,42.0,Maxis,T
3219,Ghostbusters: The Video Game,X360,2009.0,Action,Atari,0.43,0.14,0.0,0.06,79.0,53.0,8.5,125.0,Terminal Reality,T
7255,Senran Kagura 2: Deep Crimson ,3DS,2014.0,Action,Marvelous Entertainment,0.1,0.02,0.08,0.01,58.0,28.0,6.8,56.0,Tamsoft,M
976,The Evil Within,PS4,2014.0,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,75.0,65.0,7.3,1223.0,Tango Gameworks,M
5940,Spider-Man: Friend or Foe,X360,2007.0,Action,Activision,0.26,0.01,0.0,0.02,60.0,51.0,6.3,26.0,Next Level Games,E10+
5563,Def Jam Rapstar,PS3,2010.0,Misc,Konami Digital Entertainment,0.25,0.04,0.0,0.03,75.0,25.0,6.3,4.0,"Terminal Reality, 4mm Games",T
1584,Star Wars: The Force Unleashed,PS2,2008.0,Action,LucasArts,0.49,0.0,0.01,0.75,68.0,7.0,7.4,33.0,Krome Studios,T
6110,ATV Quad Power Racing 2,GC,2003.0,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,70.0,18.0,9,4.0,Climax Group,E
14634,Popeye: Rush for Spinach,GBA,2005.0,Platform,Atari,0.02,0.01,0.0,0.0,48.0,9.0,4.2,5.0,Magic Pockets,E
1975,LEGO The Lord of the Rings,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.37,0.49,0.0,0.19,82.0,16.0,8.3,85.0,TT Games,E10+
3912,Disney's Kim Possible: Revenge of Monkey Fist,GBA,2002.0,Platform,THQ,0.37,0.14,0.0,0.01,62.0,4.0,8.8,8.0,Digital Eclipse,E
11176,Digimon World 4,GC,2005.0,Role-Playing,Namco Bandai Games,0.07,0.02,0.0,0.0,55.0,4.0,8.1,19.0,Bandai,E
8483,Leisure Suit Larry: Box Office Bust,X360,2009.0,Adventure,Codemasters,0.14,0.01,0.0,0.01,25.0,27.0,2.5,41.0,Team 17,M
2840,MLB 14: The Show,PS4,2014.0,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,83.0,17.0,7.7,205.0,SCEA San Diego Studios,E
14482,Neverwinter Nights,PC,2002.0,Role-Playing,Atari,0.0,0.03,0.0,0.0,91.0,34.0,8.2,490.0,BioWare,T
11850,I-Ninja,XB,2003.0,Platform,Namco Bandai Games,0.05,0.02,0.0,0.0,75.0,18.0,8.4,8.0,Argonaut Games,T
12435,Atelier Iris 2: The Azoth Of Destiny,PS2,2005.0,Role-Playing,Tecmo Koei,0.03,0.02,0.0,0.01,68.0,34.0,7.8,14.0,Gust,E10+
16164,Neverwinter Nights 2: Mask of the Betrayer,PC,2007.0,Role-Playing,Atari,0.0,0.01,0.0,0.0,82.0,25.0,8.8,182.0,Obsidian Entertainment,T
7513,Mobile Suit Gundam: Crossfire,PS3,2006.0,Simulation,Namco Bandai Games,0.06,0.0,0.14,0.01,33.0,31.0,5.1,47.0,Bec,T
1832,Spider-Man 2,XB,2004.0,Action,Activision,0.82,0.26,0.0,0.04,83.0,60.0,8.3,40.0,Treyarch,T
460,LEGO Batman: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.75,1.01,0.0,0.29,72.0,16.0,8,16.0,TT Fusion,E10+
4505,Payday 2,PS3,2013.0,Shooter,505 Games,0.22,0.14,0.0,0.08,74.0,12.0,6.2,181.0,Overkill Software,M
37,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M
3988,Monster Hunter,PS2,2004.0,Role-Playing,Capcom,0.11,0.08,0.28,0.03,68.0,37.0,8.9,46.0,Capcom,T
713,Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,1.93,0.15,0.0,0.17,79.0,31.0,5.5,56.0,EA Tiburon,E
559,LEGO Star Wars II: The Original Trilogy,PS2,2006.0,Action,LucasArts,1.85,0.64,0.01,0.19,84.0,32.0,9,41.0,Traveller's Tales,E10+
5183,Dragon Ball Z: Attack of the Saiyans,DS,2009.0,Role-Playing,Namco Bandai Games,0.12,0.02,0.21,0.01,73.0,21.0,7.9,24.0,Monolith Soft,E10+
4899,Transformers: Fall of Cybertron,PS3,2012.0,Action,Activision,0.19,0.14,0.0,0.06,77.0,32.0,8.2,87.0,High Moon Studios,T
6201,Trivial Pursuit,PS3,2009.0,Misc,Electronic Arts,0.12,0.11,0.0,0.05,66.0,13.0,7.1,7.0,EA Bright Light,E
4900,Alpha Protocol,X360,2010.0,Role-Playing,Sega,0.23,0.12,0.0,0.04,63.0,68.0,7.2,201.0,Obsidian Entertainment,M
567,Call Of Duty 2: Big Red One,PS2,2005.0,Shooter,Activision,1.48,0.92,0.01,0.26,77.0,39.0,8.2,69.0,Treyarch,T
10075,MLB 13: The Show,PSV,2013.0,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.02,75.0,7.0,7.5,21.0,SCEA San Diego Studios,E
6307,F1 Race Stars,X360,2012.0,Racing,Codemasters,0.07,0.17,0.0,0.02,64.0,33.0,5.7,22.0,Codemasters,E
16667,E.T. The Extra-Terrestrial,GBA,2001.0,Action,NewKidCo,0.01,0.0,0.0,0.0,46.0,4.0,2.4,21.0,Fluid Studios,E
11446,Battlefield 2,PC,2005.0,Shooter,Electronic Arts,0.0,0.07,0.0,0.01,91.0,55.0,8.4,837.0,Digital Illusions,T
9118,XCOM 2,PS4,2016.0,Strategy,Take-Two Interactive,0.04,0.08,0.0,0.02,88.0,28.0,8,116.0,Firaxis Games,T
239,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,3.19,0.91,0.01,0.42,85.0,69.0,7.9,165.0,Neversoft Entertainment,T
5687,Shenmue II,XB,2002.0,Adventure,Microsoft Game Studios,0.22,0.08,0.0,0.01,80.0,31.0,9.3,96.0,Sega AM2,T
12876,Bombastic,PS2,2002.0,Puzzle,Capcom,0.03,0.02,0.0,0.01,72.0,24.0,7.2,6.0,Shift,E
1597,RollerCoaster Tycoon 2,PC,2002.0,Strategy,Atari,1.19,0.05,0.0,0.0,74.0,22.0,8.5,135.0,Chris Sawyer,E
11014,Riviera: The Promised Land,PSP,2006.0,Role-Playing,505 Games,0.07,0.0,0.02,0.01,68.0,11.0,7.7,17.0,Sting,T
5888,Army Men: Air Attack 2,PS,2000.0,Action,3DO,0.17,0.11,0.0,0.02,74.0,8.0,5.3,4.0,3DO,T
1180,Watch Dogs,XOne,2014.0,Action,Ubisoft,0.9,0.53,0.0,0.14,78.0,15.0,5.8,712.0,Ubisoft Montreal,M
4302,NHL 2005,PS2,2004.0,Sports,Electronic Arts,0.22,0.17,0.0,0.06,75.0,21.0,8.3,23.0,EA Sports,E
3006,The Evil Within,XOne,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,79.0,24.0,7.3,430.0,Tango Gameworks,M
2781,Sword of Mana,GBA,2003.0,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,72.0,31.0,8.3,25.0,Brownie Brown,E
12915,Dynasty Warriors 5,XB,2005.0,Action,Tecmo Koei,0.04,0.01,0.0,0.0,66.0,22.0,8,4.0,Omega Force,T
15590,Hogs of War,PS,2000.0,Strategy,Infogrames,0.01,0.01,0.0,0.0,62.0,10.0,8.8,31.0,Infogrames Sheffield,T
6451,Etrian Odyssey II: Heroes of Lagaard,DS,2008.0,Role-Playing,Atlus,0.09,0.0,0.16,0.01,82.0,17.0,8.9,24.0,Atlus,E10+
5121,The BIGS,Wii,2007.0,Sports,Take-Two Interactive,0.34,0.0,0.0,0.03,66.0,15.0,7.1,14.0,Blue Castle Games,E
2829,Total War: Rome II,PC,2013.0,Strategy,Sega,0.12,0.53,0.0,0.07,76.0,71.0,4.2,3742.0,Creative Assembly,T
5787,NASCAR Thunder 2003,GC,2002.0,Racing,Electronic Arts,0.24,0.06,0.0,0.01,85.0,12.0,6.6,5.0,EA Sports,E
4219,Dragon Ball Z: Collectible Card Game,GBA,2002.0,Misc,Infogrames,0.33,0.12,0.0,0.01,62.0,4.0,5.5,4.0,ImaginEngine,E
12729,MX vs. ATV Supercross Encore,PS4,2015.0,Sports,Nordic Games,0.0,0.05,0.0,0.01,42.0,8.0,4.1,9.0,Rainbow Studios,E
9272,NBA Ballers: Chosen One,PS3,2008.0,Sports,Midway Games,0.12,0.0,0.0,0.01,54.0,23.0,6.5,4.0,Midway,E
3693,Crash Tag Team Racing,PS2,2005.0,Racing,Vivendi Games,0.27,0.21,0.0,0.07,66.0,21.0,7,49.0,Radical Entertainment,E10+
8731,Bomberman,PSP,2006.0,Puzzle,Konami Digital Entertainment,0.14,0.0,0.0,0.01,73.0,30.0,7,7.0,Hudson,E
6393,InuYasha: Feudal Combat,PS2,2005.0,Fighting,Namco Bandai Games,0.13,0.1,0.0,0.03,52.0,14.0,8.3,21.0,Eighting,T
5987,Zoo Tycoon 2 DS,DS,2008.0,Strategy,THQ,0.24,0.03,0.0,0.02,60.0,17.0,5.4,7.0,Altron,E
295,Watch Dogs,PS4,2014.0,Action,Ubisoft,1.4,1.9,0.11,0.64,80.0,80.0,6.3,2996.0,Ubisoft Montreal,M
8129,Remember Me,X360,2013.0,Action,Capcom,0.1,0.06,0.0,0.02,70.0,42.0,7.5,267.0,DONTNOD Entertainment,M
1785,007: Quantum of Solace,PS3,2008.0,Action,Activision,0.43,0.51,0.02,0.19,65.0,42.0,6.6,47.0,Treyarch,T
11220,Red Faction: Armageddon,PC,2011.0,Shooter,THQ,0.05,0.02,0.0,0.01,75.0,29.0,6.7,273.0,Volition Inc.,M
5854,Batman: Arkham VR,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,75.0,59.0,7.3,89.0,Rocksteady Studios,M
6818,Kill.Switch,XB,2003.0,Shooter,Namco Bandai Games,0.18,0.05,0.0,0.01,75.0,26.0,8,7.0,Namco,T
1362,UFC Undisputed 2010,PS3,2010.0,Fighting,THQ,0.8,0.4,0.02,0.18,85.0,54.0,7.2,48.0,Yuke's,T
5453,Harry Potter and the Deathly Hallows - Part 2,X360,2011.0,Action,Electronic Arts,0.19,0.11,0.0,0.03,44.0,31.0,5.4,24.0,EA Bright Light,T
4454,Child of Eden,X360,2011.0,Shooter,Ubisoft,0.28,0.12,0.0,0.04,84.0,81.0,7.7,95.0,Q Entertainment,E10+
11103,Arslan: The Warriors of Legend,PS4,2015.0,Action,Tecmo Koei,0.03,0.01,0.04,0.01,69.0,43.0,6.6,23.0,Omega Force,T
10927,Ribbit King,PS2,2003.0,Sports,Atari,0.05,0.04,0.0,0.01,58.0,10.0,6.5,4.0,Bandai,E
8180,Full Auto 2: Battlelines,PS3,2006.0,Racing,Sega,0.14,0.02,0.0,0.02,67.0,43.0,7.6,25.0,Pseudo Interactive,T
10910,Code Lyoko: Quest for Infinity,Wii,2007.0,Action,Game Factory,0.07,0.01,0.0,0.01,58.0,15.0,8.5,8.0,The Game Factory,E10+
2648,Perfect Dark Zero,X360,2005.0,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,81.0,75.0,7.3,229.0,Rare Ltd.,M
3480,NHL 06,PS2,2005.0,Sports,Electronic Arts,0.48,0.02,0.0,0.08,78.0,27.0,8.5,29.0,EA Canada,E10+
2377,Madden NFL 08,Wii,2007.0,Sports,Electronic Arts,0.8,0.0,0.0,0.07,76.0,29.0,6.8,27.0,EA Tiburon,E
5692,Rugby World Cup 2011,PS3,2011.0,Sports,505 Games,0.0,0.24,0.0,0.07,50.0,12.0,5.6,7.0,HB Studios Multimedia,E
4587,NASCAR Kart Racing,Wii,2009.0,Racing,Electronic Arts,0.39,0.0,0.0,0.03,70.0,12.0,8.1,9.0,Electronic Arts,E
7386,Summoner 2,PS2,2002.0,Role-Playing,THQ,0.1,0.08,0.0,0.03,76.0,20.0,8.3,22.0,Volition Inc.,T
7403,Danganronpa Another Episode: Ultra Despair Girls,PSV,2014.0,Action,Nippon Ichi Software,0.06,0.01,0.12,0.02,72.0,35.0,8.4,77.0,Spike Chunsoft,M
5399,MVP 06 NCAA Baseball,XB,2006.0,Sports,Electronic Arts,0.25,0.07,0.0,0.01,75.0,29.0,8.6,17.0,EA Canada,E
7085,Toukiden Kiwami,PSV,2014.0,Action,Tecmo Koei,0.02,0.02,0.17,0.01,82.0,5.0,8.6,42.0,"Omega Force, Koei Tecmo Games",T
8814,Serious Sam,XB,2002.0,Shooter,Take-Two Interactive,0.11,0.03,0.0,0.01,75.0,22.0,8.2,16.0,Croteam,M
5372,Supreme Commander 2,X360,2010.0,Strategy,Square Enix,0.23,0.09,0.0,0.03,75.0,28.0,7.1,23.0,Gas Powered Games,E10+
4955,Red Faction: Armageddon,X360,2011.0,Shooter,THQ,0.18,0.16,0.01,0.04,71.0,74.0,7,77.0,Volition Inc.,M
1613,FIFA Street,PS3,2012.0,Sports,Electronic Arts,0.12,0.89,0.0,0.23,76.0,36.0,6.4,66.0,EA Sports,E
7307,NBA,PSP,2005.0,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,57.0,25.0,6.9,14.0,989 Sports,E
2015,Street Fighter Alpha 3,PS,1998.0,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,93.0,12.0,8.5,46.0,Capcom,T
8439,Bomberman Land,Wii,2007.0,Misc,Rising Star Games,0.11,0.01,0.03,0.01,57.0,23.0,8,10.0,Racjin,E
15584,Crysis: Warhead,PC,2008.0,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,84.0,56.0,7.9,516.0,Crytek,M
5756,Dark Void,X360,2010.0,Action,Capcom,0.19,0.09,0.0,0.03,59.0,69.0,6,61.0,Airtight Games,T
6958,Buffy the Vampire Slayer,XB,2002.0,Action,Electronic Arts,0.18,0.05,0.0,0.01,79.0,30.0,9.1,31.0,Double Helix Games,T
5329,EverGrace,PS2,2000.0,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,59.0,12.0,7.8,4.0,From Software,T
2981,Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09,85.0,46.0,8.5,111.0,Ubisoft Montreal,M
9199,Rayman Legends,PSV,2014.0,Platform,Ubisoft,0.01,0.1,0.0,0.03,87.0,8.0,8.4,159.0,Ubisoft Montpellier,E10+
10355,FIFA World Cup Germany 2006,PSP,2006.0,Sports,Electronic Arts,0.1,0.0,0.0,0.01,72.0,15.0,7.3,8.0,EA Canada,E
243,Spider-Man: The Movie,PS2,2002.0,Action,Activision,2.71,1.51,0.03,0.23,76.0,25.0,7.9,41.0,Treyarch,E
106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,96.0,15.0,9.1,367.0,Namco,T
9033,Class of Heroes,PSP,2008.0,Role-Playing,Acquire,0.06,0.0,0.08,0.01,61.0,12.0,7.1,12.0,Zerodiv,T
15203,Brandish: The Dark Revenant,PSP,2009.0,Role-Playing,Falcom Corporation,0.0,0.0,0.02,0.0,78.0,9.0,8.3,12.0,Falcom,T
8544,The Incredibles: Rise of the Underminer,GC,2005.0,Action,THQ,0.12,0.03,0.0,0.0,67.0,7.0,6.6,7.0,Heavy Iron Studios,E10+
15501,Motocross Mania 3,XB,2005.0,Racing,Take-Two Interactive,0.01,0.0,0.0,0.0,38.0,9.0,3.6,7.0,Deibus Studios,T
3960,Picross DS,DS,2007.0,Puzzle,Nintendo,0.17,0.02,0.3,0.02,83.0,33.0,8.7,36.0,Jupiter Corporation,E
3873,SimAnimals,DS,2009.0,Simulation,Electronic Arts,0.26,0.2,0.0,0.05,70.0,10.0,7.5,4.0,Electronic Arts,E
179,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,3.22,1.55,0.01,0.48,81.0,53.0,5.4,898.0,Sledgehammer Games,M
4446,Eternal Darkness: Sanity's Requiem,GC,2002.0,Adventure,Nintendo,0.34,0.09,0.0,0.01,92.0,41.0,8.7,173.0,Silicon Knights,M
11391,Pro Evolution Soccer 2013,PC,2012.0,Sports,Konami Digital Entertainment,0.0,0.07,0.0,0.01,80.0,8.0,6.9,182.0,Konami,E
7506,Assassin's Creed The Ezio Collection,PS4,2016.0,Action,Ubisoft,0.04,0.13,0.0,0.03,72.0,32.0,7.4,49.0,Ubisoft Montreal,M
4793,The Wonderful 101,WiiU,2013.0,Action,Nintendo,0.19,0.1,0.08,0.03,78.0,75.0,8.5,495.0,PlatinumGames,T
29,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M
5703,Batman: Arkham Origins,PC,2013.0,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.02,74.0,17.0,7.5,1170.0,Iron Galaxy Studios,T
2801,Final Fantasy XIII-2,X360,2011.0,Role-Playing,Square Enix,0.36,0.29,0.02,0.06,79.0,50.0,6.3,268.0,Square Enix,T
10856,Pac-Man and the Ghostly Adventures 2,PS3,2014.0,Adventure,Namco Bandai Games,0.05,0.03,0.0,0.02,59.0,11.0,6.3,4.0,Vicious Cycle,E10+
12487,Cold Fear,XB,2005.0,Action,Ubisoft,0.05,0.01,0.0,0.0,71.0,41.0,7.6,20.0,Darkworks,M
15133,Inkheart,DS,2009.0,Adventure,DreamCatcher Interactive,0.02,0.0,0.0,0.0,39.0,8.0,2.2,5.0,Dreamcatcher,E
4969,Looney Tunes: Acme Arsenal,PS2,2007.0,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0.0,0.05,38.0,10.0,3.9,7.0,Red Tribe,E10+
12843,V-Rally 3,PS2,2002.0,Racing,Atari,0.03,0.02,0.0,0.01,82.0,10.0,7.4,14.0,Eden Studios,E
8722,Atelier Iris: Eternal Mana,PS2,2004.0,Role-Playing,Tecmo Koei,0.08,0.06,0.0,0.02,74.0,38.0,7.7,38.0,Gust,T
5844,Chaos Legion,PS2,2003.0,Action,Capcom,0.15,0.12,0.0,0.04,65.0,34.0,8.2,58.0,Capcom,T
5873,F1 2013,X360,2013.0,Racing,Codemasters,0.01,0.27,0.0,0.02,79.0,29.0,6.6,33.0,Codemasters,E
10008,Smash Cars,PS2,2003.0,Racing,Metro 3D,0.06,0.04,0.0,0.01,67.0,15.0,9,5.0,Creat Studios,E
7916,Tom Clancy's Splinter Cell: Blacklist,PC,2013.0,Action,Ubisoft,0.04,0.13,0.0,0.01,82.0,13.0,7.4,754.0,Ubisoft Toronto,M
13742,WarJetz,PS2,2001.0,Shooter,3DO,0.02,0.02,0.0,0.01,59.0,9.0,5.5,4.0,3DO,T
8664,Amped 3,X360,2005.0,Sports,Take-Two Interactive,0.13,0.02,0.0,0.01,72.0,49.0,7.1,36.0,2K Sports,T
8406,Backyard Wrestling: Don't Try This at Home,XB,2003.0,Fighting,Eidos Interactive,0.13,0.04,0.0,0.01,50.0,15.0,5,7.0,Paradox Development,M
7306,Crash 'N' Burn,PS2,2004.0,Racing,Eidos Interactive,0.11,0.08,0.0,0.03,63.0,17.0,8,7.0,Climax Group,T
4299,Tomb Raider: Underworld,Wii,2008.0,Action,Eidos Interactive,0.13,0.27,0.0,0.05,70.0,12.0,7.2,20.0,Crystal Dynamics,T
6556,Resident Evil: Deadly Silence,DS,2006.0,Action,Capcom,0.11,0.02,0.11,0.01,71.0,41.0,8.4,36.0,Capcom,M
3653,MX vs. ATV: Alive,X360,2011.0,Racing,THQ,0.37,0.13,0.0,0.04,63.0,43.0,7.2,24.0,THQ Digital Studio Phoenix,E
8798,Samurai Warriors: Katana,Wii,2007.0,Action,Tecmo Koei,0.11,0.0,0.04,0.01,53.0,30.0,6.8,6.0,"Koei, Omega Force",T
8772,Army Men: Sarge's War,GC,2004.0,Shooter,Global Star,0.12,0.03,0.0,0.0,56.0,11.0,6.7,7.0,3DO,T
6913,G.I. Joe: The Rise of Cobra,X360,2009.0,Action,Electronic Arts,0.17,0.05,0.0,0.02,42.0,59.0,4.7,22.0,Double Helix Games,T
2647,Need for Speed: ProStreet,PSP,2008.0,Racing,Electronic Arts,0.24,0.33,0.01,0.19,57.0,14.0,7.1,19.0,EA Games,E
13655,Secret Files: Tunguska,PC,2006.0,Adventure,DreamCatcher Interactive,0.0,0.04,0.0,0.0,66.0,26.0,7.4,38.0,Fusionsphere Systems,T
1215,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006.0,Shooter,Ubisoft,1.4,0.02,0.02,0.1,90.0,78.0,8,215.0,Ubisoft Paris,T
8157,College Hoops 2K7,PS3,2007.0,Sports,Take-Two Interactive,0.16,0.0,0.0,0.01,81.0,9.0,7.1,8.0,2K Sports,E
323,Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,1.78,1.43,0.05,0.57,78.0,49.0,3.7,1564.0,Infinity Ward,M
1344,Anno 2070,PC,2011.0,Strategy,Ubisoft,0.0,1.13,0.0,0.29,83.0,33.0,7,493.0,"Blue Byte, Related Designs",T
4457,Spider-Man: Shattered Dimensions,PS3,2010.0,Action,Activision,0.26,0.12,0.0,0.05,74.0,57.0,7.5,96.0,Beenox,T
909,Star Wars Rogue Leader: Rogue Squadron II,GC,2001.0,Simulation,LucasArts,1.03,0.75,0.03,0.09,90.0,45.0,8.6,80.0,Factor 5,T
11562,Crush,PSP,2007.0,Puzzle,Sega,0.07,0.0,0.0,0.01,83.0,41.0,9,21.0,Zoe Mode,E10+
16211,Serious Sam II,PC,2005.0,Shooter,Take-Two Interactive,0.0,0.01,0.0,0.0,74.0,31.0,7,152.0,Croteam,M
496,Mass Effect,X360,2007.0,Role-Playing,Microsoft Game Studios,1.83,0.79,0.03,0.27,91.0,74.0,8.7,1692.0,BioWare,M
5846,Charlie and the Chocolate Factory,GBA,2005.0,Adventure,Global Star,0.22,0.08,0.0,0.01,36.0,5.0,3.8,6.0,"High Voltage Software, Backbone Entertainment",E
5302,EA Sports MMA,X360,2010.0,Fighting,Electronic Arts,0.23,0.09,0.0,0.02,79.0,63.0,7,55.0,EA Tiburon,T
4365,Deadpool,PS3,2013.0,Action,Activision,0.23,0.14,0.0,0.08,61.0,27.0,7.2,221.0,High Moon Studios,M
4953,EA Sports Active 2,X360,2010.0,Sports,Electronic Arts,0.18,0.16,0.0,0.04,68.0,21.0,5.4,9.0,EA Canada,E
7144,Whirl Tour,PS2,2002.0,Sports,Crave Entertainment,0.11,0.09,0.0,0.03,58.0,9.0,7,5.0,Papaya Studios,E
256,Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,86.0,70.0,8.1,715.0,Insomniac Games,M
